Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
1084,106.84,66.92,0
1085,712.05,0,0
1086,625.04,0,0
1087,481.62,202.34,136.49
1088,284.11,275.83,210.64
1089,851.43,83.55,0
1090,196.68,94.41,0
1091,752.73,0,0
1092,337.86,0,0
1093,110.73,0,0
1094,260.14,112.52,72.14
1095,220.04,0,0
1096,914.76,0,0
1097,252.52,181.54,168.74
1098,666.65,0,0
1099,457.61,0,0
1100,79.75,0,0
1101,281.23,0,0
1102,579,0,0
1103,704.61,0,0
1104,161.08,0,0
1105,527.42,0,0
1106,192.61,181.42,143.44
1107,243.18,126.09,93.04
1108,756.57,0,0
1109,75.04,0,0
1110,521.9,240.74,0
1111,343.72,337.42,294.26
1112,384.73,105.05,0
1113,568.39,0,0
1114,389.47,0,0
1115,144.63,0,0
1116,368.46,0,0
1117,719,0,0
1118,434.12,91.89,0
1119,110.87,0,0
1120,148.26,80.78,0
1121,96.94,0,0
1122,112.34,79.02,0
1123,459.87,0,0
1124,471.11,52.17,0
1125,226.41,172.6,125.08
1126,369.79,0,0
1127,97.31,0,0
1128,110.6,0,0
1129,200.75,109.33,0
1130,417.39,307.22,235.45
1131,148.8,0,0
1132,918.65,0,0
1133,539.61,127.34,0
1134,475.41,378.56,292.41
1135,700.4,0,0
1136,687.22,0,0
1137,129.85,105.75,0
1138,232.14,0,0
1139,280.49,49.8,0
1140,99.42,0,0
1141,261.68,182.85,143.43
1142,149.3,0,0
1143,837.42,0,0
1144,385.2,0,0
1145,164.05,0,0
1146,179.71,98.98,0
1147,234.46,0,0
1148,101.09,0,0
1149,474.92,195.61,0
1150,605.2,0,0
1151,676.11,107.64,70.73
1152,500.74,277.9,235.49
1153,635.09,0,0
1154,390.97,364.18,212.06
1155,148.56,0,0
1156,780.12,0,0
1157,324.7,0,0
1158,647.49,0,0
1159,405.66,397.11,337.38
1160,380.96,0,0
1161,185.67,0,0
1162,138.44,0,0
1163,46.4,0,0
1164,582.53,226.89,210.81
1165,227.3,0,0
1166,270.89,0,0
1167,483.79,0,0
1168,508.68,0,0
1169,271.36,76.68,0
1170,737.81,0,0
1171,791.24,0,0
1172,786.8,0,0
1173,118.33,0,0
1174,529.24,0,0
1175,149.58,138.12,122.44
1176,190.06,118.72,0
1177,490.6,0,0
1178,163.89,0,0
1179,577.04,0,0
1180,240.27,150.07,0
1181,647.22,0,0
1182,166.72,0,0
1183,956.3,0,0
1184,88.26,0,0
1185,112.01,0,0
1186,57.57,0,0
1187,895.75,0,0
1188,354.41,309.58,191.42
1189,210.45,152.96,0
1190,369.93,0,0
1191,535.04,100.47,0
1192,263.58,231.06,78.35
1193,150.58,0,0
1194,127.41,0,0
1195,110.95,0,0
1196,91.48,0,0
1197,385.58,0,0
1198,616.37,0,0
1199,564.23,0,0
1200,739.39,83.68,72.26
1201,676.74,0,0
1202,306.02,284.78,247.51
1203,494.46,0,0
1204,96.8,71.45,57.06
1205,320.08,0,0
1206,440.54,0,0
1207,153.11,76.43,0
1208,289.4,0,0
1209,197.22,0,0
1210,895.03,68.2,0
1211,395.8,0,0
1212,191.68,56.62,0
1213,476.02,0,0
1214,294.34,272.91,193.94
1215,577.97,0,0
1216,582.27,0,0
1217,105.89,0,0
1218,523.82,0,0
1219,329.36,0,0
1220,417.29,0,0
1221,251.99,0,0
1222,151.03,0,0
1223,236.31,169.57,132.92
1224,244.58,0,0
1225,511.41,256.91,112.44
1226,153.63,0,0
1227,263.64,231.6,231.12
1228,745.99,0,0
